Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL,Material,url,Description,Alloy Composition,Base Metal Price (% relative),Brinell Hardness,Compressive (crushing) Strength (MPa),Curie Temperature (°C),Density (g/cm³),Dielectric Constant (relative Permittivity) At 1Hz,Dielectric Constant (relative Permittivity) At 1Mhz,Dielectric Strength (breakdown Potential) (kV/mm),"Elastic (Young's, Tensile) Modulus (GPa)",Electrical Conductivity: Equal Volume (% IACS),Electrical Conductivity: Equal Weight (specific) (% IACS),Electrical Dissipation At 1Hz,Electrical Dissipation At 1Mhz,Electrical Resistivity Order Of Magnitude (10),Elongation At Break (%),Embodied Carbon (kg CO₂),Embodied Energy (MJ/kg),Embodied Water (L/kg),Fatigue Strength (MPa),Flexural Modulus (GPa),Flexural Strength (MPa),Follow-up Questions,Fracture Toughness (MPa·m),Further Reading,Glass Transition Temperature (°C),Heat Deflection Temperature At 1.82Mpa (264Psi) (°C),Impact Strength: Notched Izod (J/m),Impact Strength: V-notched Charpy (J),Knoop Hardness,Latent Heat Of Fusion (J/g),Light Transmission Range (µm),Limiting Oxygen Index (loi) (%),Maximum Temperature: Autoignition (°C),Maximum Temperature: Corrosion (°C),Maximum Temperature: Decomposition (°C),Maximum Temperature: Mechanical (°C),Maximum Thermal Shock (°C),Melting Completion (liquidus) (°C),Melting Onset (solidus) (°C),Poisson's Ratio,Pren (pitting Resistance),Reduction In Area (%),Refractive Index,Resilience: Ultimate (unit Rupture Work) (MJ/m³),Resilience: Unit (modulus Of Resilience) (kJ/m³),Rockwell B Hardness,Rockwell C Hardness,Rockwell M Hardness,Shear Modulus (GPa),Shear Strength (MPa),Solidification (pattern Maker's) Shrinkage (%),Specific Heat Capacity (J/kg·K),Stiffness To Weight: Axial (points),Stiffness To Weight: Bending (points),Strength To Weight: Axial (points),Strength To Weight: Bending (points),Tensile Strength: Ultimate (uts) (MPa),Tensile Strength: Yield (proof) (MPa),Thermal Conductivity (W/m·K),Thermal Diffusivity (mm²/s),Thermal Expansion (µm/m·K),Thermal Shock Resistance (points),Vicat Softening Temperature (°C),Water Absorption After 24 Hours (%),Water Absorption At Saturation (%),Material ID (MAT_ID),Material Designation,Manufacturer/Supplier,Chemical Composition,Semifinished Material Information,Heat Treatment,Microstructure,Hardness,Testing Conditions (Axial Loading),Monotonic Properties,Monotonic Stress-Strain Curves (Ramberg-Osgood Model),"Cyclic/Fatigue Properties (Axial Loading, Fully Reversed)",Testing Temperature (°C),Testing Medium,Loading Type,Loading Control,Specimen,Loading Ratio,Additional Remarks,Fatigue Properties,Fatigue Strain-Life Parameters (Coffin-Manson-Basquin Model),Collecting Cyclic Stress-Strain Plot Data
Category: polymer Page No: 5,polymer,Abatron AboCast/AboCure 8007-2 High-Grade Polysulfide-Epoxy Flexible Membrane Sealant and Joint-Filler,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced, Polysulfide Sealant/Adhesive","AboCast/AboCure 8007-2 is a 2-part polysulfide-epoxy solventless system. It is weather- and water-proof, flexible, and acid, alkali, and fuel resistant. Uses:  Filling joints and cracks in exposed structures like bridges, docks, parking garages, and flat roofs; Repairing cracks and joints between concrete and steel; Installing and sealing bulkheads, windows, and other framed openings in ships and buildings; Maintenance of tanks, pipes, and structures; Repairs in sewage, drainage basins, and pipes; Metal and concrete structures. The 8007-2 system is a compromise between a rigid patching material and a flexible sealant with high elongation, for cases where the first would crack because of its rigidity and the second would offer poor tensile strength, adhesion, and wear resistance because of softness. It most successful use is in repairs of floors, walls, and ceilings in exposed decks typical of multilevel parking garages, helicopter landing platforms, flat roofs, gasoline service stations, loading docks, wharfs, piers, and multilevel warehouses. The 8007-2 system is also ideal where concrete is to be cast onto old concrete or steel and form a permanent bond that offers sufficient strength as well as a modest degree of flexibility that is sufficient to resist thermal expansion differences and other slight relative motions. The 8007-2 system also offers the ability to harden on wet surfaces and under water. In many cases, it can be used as a versatile binder to mix with aggregates or sand that can be used to patch and bond to surfaces where concrete aggregates could not bond.",N/A,,,"[{'Solids Content': {'Metric': '100 %', 'English': '100 %', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '<= 65', 'English': '<= 65', 'Comments': None}}]",N/A,N/A,N/A,N/A,[{'Hardening Time (min)60-480at ambient temp.': {'Descriptive Properties': 'Induction Period (min)<= 5'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a84dfab53263466da982c211ae6b75ca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 8005-6/AboCure 8005-6 Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 8005-6 is a tan, viscous filled liquid resin with a weight of approximately 11 lbs/gallon. AboCure 8005-6 is an amber, viscous liquid converter with a weight of approximately 10 lbs/gallon. AboCast 8005-6/AboCure 8005-6 is a 2-component clear epoxy system for industrial, architectural, and marine uses. It bonds new concrete to old with a stronger-than-concrete bond between wet-poured concrete and old concrete. It makes it possible to resurface concrete with thin, light-weight layers of concrete and terrazzo. It is used as a bonding agent for restoring bridges, runways, ramps, decks, driveways, and commercial and residential buildings, avoiding costly replacement. AboCast 8005-6/AboCure 8005-6 is easy to apply with a brush or roller. It is outstanding for resurfacing floors and can be extended with fillers like sand, gravel, or chips. It is excellent for functional and decorative non-skid floors. It is also chemically resistant and easy to color. 100% epoxy solids. 7/3 ratio by volume. 30-40 minute working life. Hardens in 0.5-3 hours on wet or cold surfaces.",N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[{'Hardening Time (min)30-180': {'Descriptive Properties': None}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2f3353f124b445e79941df4846c0ee48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron LiquidWood® Deep Penetrating Wood Consolidant,"Polymer, Adhesive, Thermoset, Epoxy, Epoxy Adhesive","LiquidWood® is a deep penetrating wood consolidant that regenerates and waterproofs rotted, dried-out, or spongy wood. It restores structural strength and durability to wood fibers. With LiquidWood®, a piece of deteriorated wood that could crumble under finger pressure can be impregnated and restored to a rigid, durable, water and weather resistant wood superior to the original. The hardened mass can be sawed, planed, routed, carved, drilled, nailed, sanded, glued, and painted. LiquidWood® is also a primer for WoodEpox®. LiquidWood® is ideal for regenerating and waterproofing rotted, dried-out, or spongy window sills, thresholds, window and door frames, columns, stair steps, balustrades, floors, capitals, moldings, doors, shutters, indoor and outdoor furniture, archaeological and art restoration, boats, and millwork of all kinds. LiquidWood® has exceptional adhesion, structural strength, versatility, permanence, dimensional stability, and water resistance. LiquidWood® A and B are easy-to-use, are 100% reactive compounds, and contain no VOC's or noxious odors. Contents ?  LiquidWood® consists of 2 clear, epoxy liquids:  resin (A) and hardener (B). When A and B are mixed together in equal volumes, by simple stirring, a blend is formed with unique properties to impregnate and restore wood and other porous masses. Application ?  Pour on brush on the wood where it penetrates the fibers and hardens into a water-resistant, distortion-free, high-strength mass in hours or minutes. 100% solids. 1/1 ratio. 30 minute pot life.",N/A,,,"[{'Solids Content': {'Metric': '100 %', 'English': '100 %', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '42', 'English': '42', 'Comments': None}}]",N/A,N/A,N/A,N/A,N/A,N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=863c56b01f8a44879f742c5e51f2f67a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 7703-21/AboCure 7703-25 (E) Epoxy Adhesive and Casting Compound,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7703-21/AboCure 7703-21 is an all-purpose clear, low-viscosity, variable-ratio epoxy adhesive and casting compound for electric and structural applications. As an Adhesive:  it bonds permanently to metal, wood, glass, fiberglass, ceramics, rigid plastics, concrete, marble, stones, and jewelry. It is excellent to laminate fiberglass, metal sheets, paper or canvas, or any other material for composite structures. As a Dielectric:  widely used for potting, encapsulating, dipping, insulating circuits, chips, and other components. As a Casting Resin:  for filling, embedments, reproductions, tooling (as is, or blended with fillers such as metal powders, sawdust, etc.). This compound is virtually unaffected by average ambient conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be modified by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical and heat resistance are offered by the 1400/40 ratio. Higher AboCure ratios (up to 100/100 parts AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. The 7703-21 System develops tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7703-21 System in X-ray and other radioactive environments.",N/A,,,"[{'Viscosity': {'Metric': '1300cP', 'English': '1300cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '60', 'English': '60', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '<=1.00e+9ohm-cm@Temperature 66.0 °C', 'English': '<=1.00e+9ohm-cm@Temperature 151 °F', 'Comments': None}}]",N/A,N/A,N/A,[{'Hardening Time (min)60-244castings': {'Descriptive Properties': '720-2884adhesive'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=beee4aeae6d6492c84c5be8185609afd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 7703-21/AboCure 7703-24 (D) Epoxy Adhesive and Casting Compound,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7703-21/AboCure 7703-21 is an all-purpose clear, low-viscosity, variable-ratio epoxy adhesive and casting compound for electric and structural applications. As an Adhesive:  it bonds permanently to metal, wood, glass, fiberglass, ceramics, rigid plastics, concrete, marble, stones, and jewelry. It is excellent to laminate fiberglass, metal sheets, paper or canvas, or any other material for composite structures. As a Dielectric:  widely used for potting, encapsulating, dipping, insulating circuits, chips, and other components. As a Casting Resin:  for filling, embedments, reproductions, tooling (as is, or blended with fillers such as metal powders, sawdust, etc.). This compound is virtually unaffected by average ambient conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be modified by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical and heat resistance are offered by the 1400/40 ratio. Higher AboCure ratios (up to 100/100 parts AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. The 7703-21 System develops tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7703-21 System in X-ray and other radioactive environments.",N/A,,,"[{'Viscosity': {'Metric': '1800cP', 'English': '1800cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '78', 'English': '78', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '<=1.00e+9ohm-cm@Temperature 93.0 °C', 'English': '<=1.00e+9ohm-cm@Temperature 199 °F', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '50.0°C', 'English': '122°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Hardening Time (min)60-243castings': {'Descriptive Properties': '720-2883adhesive'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=a0757b07cecb48d2a4b34bc9777d76dc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 7703-21/AboCure 7703-22 (B) Epoxy Adhesive and Casting Compound,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7703-21/AboCure 7703-21 is an all-purpose clear, low-viscosity, variable-ratio epoxy adhesive and casting compound for electric and structural applications. As an Adhesive:  it bonds permanently to metal, wood, glass, fiberglass, ceramics, rigid plastics, concrete, marble, stones, and jewelry. It is excellent to laminate fiberglass, metal sheets, paper or canvas, or any other material for composite structures. As a Dielectric:  widely used for potting, encapsulating, dipping, insulating circuits, chips, and other components. As a Casting Resin:  for filling, embedments, reproductions, tooling (as is, or blended with fillers such as metal powders, sawdust, etc.). This compound is virtually unaffected by average ambient conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be modified by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical and heat resistance are offered by the 1400/40 ratio. Higher AboCure ratios (up to 100/100 parts AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. The 7703-21 System develops tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7703-21 System in X-ray and other radioactive environments.",N/A,,,"[{'Viscosity': {'Metric': '3200cP', 'English': '3200cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '85', 'English': '85', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '1.50e+11ohm-cm@Temperature 93.0 °C', 'English': '1.50e+11ohm-cm@Temperature 199 °F', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '74.0°C', 'English': '165°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Hardening Time (min)60-241castings': {'Descriptive Properties': '720-2881adhesive'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=dba7273a11044e159f3f0661407fe531,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 7703-21/AboCure 7703-23 (C) Epoxy Adhesive and Casting Compound,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7703-21/AboCure 7703-21 is an all-purpose clear, low-viscosity, variable-ratio epoxy adhesive and casting compound for electric and structural applications. As an Adhesive:  it bonds permanently to metal, wood, glass, fiberglass, ceramics, rigid plastics, concrete, marble, stones, and jewelry. It is excellent to laminate fiberglass, metal sheets, paper or canvas, or any other material for composite structures. As a Dielectric:  widely used for potting, encapsulating, dipping, insulating circuits, chips, and other components. As a Casting Resin:  for filling, embedments, reproductions, tooling (as is, or blended with fillers such as metal powders, sawdust, etc.). This compound is virtually unaffected by average ambient conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be modified by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical and heat resistance are offered by the 1400/40 ratio. Higher AboCure ratios (up to 100/100 parts AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. The 7703-21 System develops tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7703-21 System in X-ray and other radioactive environments.",N/A,,,"[{'Viscosity': {'Metric': '2500cP', 'English': '2500cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '82', 'English': '82', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '<=1.00e+9ohm-cm@Temperature 93.0 °C', 'English': '<=1.00e+9ohm-cm@Temperature 199 °F', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '66.0°C', 'English': '151°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Hardening Time (min)60-242castings': {'Descriptive Properties': '720-2882adhesive'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=4c76e02196b2432db4c03116f721bb78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast 7703-21/AboCure 7703-21 (A) Epoxy Adhesive and Casting Compound,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7703-21/AboCure 7703-21 is an all-purpose clear, low-viscosity, variable-ratio epoxy adhesive and casting compound for electric and structural applications. As an Adhesive:  it bonds permanently to metal, wood, glass, fiberglass, ceramics, rigid plastics, concrete, marble, stones, and jewelry. It is excellent to laminate fiberglass, metal sheets, paper or canvas, or any other material for composite structures. As a Dielectric:  widely used for potting, encapsulating, dipping, insulating circuits, chips, and other components. As a Casting Resin:  for filling, embedments, reproductions, tooling (as is, or blended with fillers such as metal powders, sawdust, etc.). This compound is virtually unaffected by average ambient conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be modified by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical and heat resistance are offered by the 1400/40 ratio. Higher AboCure ratios (up to 100/100 parts AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. The 7703-21 System develops tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7703-21 System in X-ray and other radioactive environments.",N/A,,,"[{'Viscosity': {'Metric': '4000cP', 'English': '4000cP', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '87', 'English': '87', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '2.50e+11ohm-cm@Temperature 93.0 °C', 'English': '2.50e+11ohm-cm@Temperature 199 °F', 'Comments': None}}]","[{'Maximum Service Temperature, Air': {'Metric': '75.0°C', 'English': '167°F', 'Comments': 'Deflection Temp at unknown load'}}]",N/A,N/A,[{'Hardening Time (min)60-240castings': {'Descriptive Properties': '720-2880adhesive'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=2c0199a990f84bffbd2bf190d1342da7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast/AboCure 8502-1 Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast/AboCure 8502-1 is a solventless clear Epoxy System, used as a casting, adhesive, and impregnating resin for transformers, capacitors, coils, and other electronic components requiring a low-viscosity, flexibilized resin with long pot life. It is also available in colors and in filled form. It is easy to use and its shelf life is virtually indefinite.",N/A,,,"[{'Density': {'Metric': '1.16g/cc', 'English': '0.0420lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Rockwell M': {'Metric': '85', 'English': '85', 'Comments': None}}]","[{'Volume Resistivity': {'Metric': '2.50e+15ohm-cm', 'English': '2.50e+15ohm-cm', 'Comments': 'Cond. C (96 hrs/23°C/96% rel. humidity)'}}]","[{'CTE, linear': {'Metric': '60.0-65.0µm/m-°C', 'English': '33.3-36.1µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Deflection at Break0.53 in.': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=637659d0f21747ffa19ac61091d15502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Category: polymer Page No: 5,polymer,Abatron AboCast/AboCure 7606-1 Epoxy,"Polymer, Thermoset, Epoxy, Epoxy, Cast, Unreinforced","AboCast 7606-1 is a transparent, light amber resin with a weight of 9.5 lbs/gallon and a viscosity of 2100 cps approx. @ 25°C. AboCure 7606-1 is a transparent, light amber converter with a weight of 7.9 lbs/gallon and a viscosity of 500 cps approx. @ 25°C. AboCast/AboCure 7606-1 is a 2-component, dielectric, variable-ratio low-viscosity plasticized epoxy system. It is a clear dielectric casting, adhesive, and encapsulation compound. It is virtually unaffected by atmospheric conditions, soft and salt water, alkalis and diluted acids, several solvents, detergents, oils and greases. Final properties can be controlled by changing the AboCast/AboCure ratios:  the highest rigidity, hardness, chemical, and heat resistance are offered by a 100/40 ratio. Higher AboCure ratios (up to 100/100 AboCast/AboCure) yield increasing flexibility, shock and thermocycling resistance, and adhesion to problem surfaces. It has tenacious adhesion to metals, ceramics, wood, fiberglass, masonry, and most materials to form permanent structural and dielectric bonds. Radiation resistance recommends the 7606-1 System in X-ray and other radioactive environments. Other Suggested Uses:  Dielectric encapsulation and potting of electronic components, especially where toughness, transparency, mild reactivity, and non-critical proportioning are required; Shrink-free embedments and preparations of specimens for display or analytical purposes; General purpose adhesion, casting, and impregnation; Bonding or laminating substrates, plate, radiation screens, and other components in radioactive equipment.",N/A,,,"[{'Density': {'Metric': '0.947g/cc', 'English': '0.0342lb/in³', 'Comments': 'AboCure 7606-1'}}]",N/A,"[{'Hardness, Shore D': {'Metric': '64', 'English': '64', 'Comments': 'AboCast/AboCure ratio: 100/80 pbw'}}]",N/A,N/A,"[{'Transmission, Visible': {'Metric': '90 %', 'English': '90 %', 'Comments': 'transparent; thickness not quantified'}}]",N/A,[{'Hardening Time (min)180-480': {'Descriptive Properties': 'Parts by Weight (pbw)100AboCast'}}],N/A,https://www.matweb.com/search/DataSheet.aspx?MatGUID=f82f31bfd8c34709ace49eede32b6e8a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
