Page NO,Category,Name,Categories,Key Words,Vendors,Color,Crystal Structure,Physical Properties,Chemical Properties,Mechanical Properties,Electrical Properties,Thermal Properties,Optical Properties,Component Elements Properties,Descriptive Properties,Processing,URL
106,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
107,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
108,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
109,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
110,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
111,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
112,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
113,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
114,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
115,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
116,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
117,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
118,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
119,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
120,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
121,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
122,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
123,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
124,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
125,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
126,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
127,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
128,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
129,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
130,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
131,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
132,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
133,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
134,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
135,carbon,Goodfellow CVD Graphene Film on Copper Foil,Carbon,State-of-the-art chemical vapor deposition (CVD) methods produce exceptionally high quality continuous monolayer (>95%) graphene film onto a 35 micron thick copper substrate for use as transparent conductors and in other innovative applications. The film may be transferred onto other substrates.,N/A,,,"[{'Particle Size': {'Metric': '10-20µm', 'English': '10-20µm', 'Comments': 'Domain Size'}}]",N/A,N/A,N/A,N/A,"[{'Transmission, Visible': {'Metric': '>= 97 %', 'English': '>= 97 %', 'Comments': None}}]",N/A,[{'Domain Size10 - 20 µm': {'Descriptive Properties': 'Mobility> 3500 cm²/Vs'}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=0ca8fec6e63742b8ae236df5e1d42036
136,carbon,Poco Graphite SCF Semiconductor Grade Graphite,"Carbon, Graphite","Although it is impossible to identify differences between various grades of graphite by looking at them, each grade has a special set of characteristics and physical properties that determine their performance under specific conditions. The manufacturing process for each grade is tightly controlled to produce materials that have a uniform microstructure and the right balance of strength, grain size and hardness to offer optimum performance for their intended applications.",N/A,,,"[{'Apparent Bulk Density': {'Metric': '1.77g/cc', 'English': '0.0639lb/in³', 'Comments': None}}]",N/A,"[{'Hardness, Shore D': {'Metric': '91', 'English': '91', 'Comments': None}}]","[{'Electrical Resistivity': {'Metric': '0.00280ohm-cm', 'English': '0.00280ohm-cm', 'Comments': None}}]","[{'CTE, linear': {'Metric': '7.60µm/m-°C', 'English': '4.22µin/in-°F', 'Comments': None}}]",N/A,N/A,[{'Oxidation Threshold480°C1% weight loss in 24 hours. Increases by approximately 100°C if graphite is purified.': {'Descriptive Properties': None}}],,https://www.matweb.com/search/DataSheet.aspx?MatGUID=bfd2fa2f9f7b4d44bfe4a3217167f504
